station_name,yelp_name,distance,name,latitude,longitude,available_bikes,empty_slots,category,address,rating,lat,lon
Grimaldi Forum,O Cantinho da Saudade,395.90466385964345,O Cantinho da Saudade,43.743545,7.431086,3,13,Portuguese,"1 B Avenue Mar Foch, 06240 Beausoleil, France",0.0,43.74422,7.42626
Grimaldi Forum,Restaurant Au Grain de Riz,276.67774458558705,Restaurant Au Grain de Riz,43.743545,7.431086,3,13,Restaurants,"25 bd Gén Leclerc, 06240 Beausoleil, France",4.0,43.7435659,7.4276513
Grimaldi Forum,The Priory,440.5230264227747,The Priory,43.743545,7.431086,3,13,Restaurants,"3 avenue Gén de Gaulle, 06240 Beausoleil, France",0.0,43.7429,7.42569
Grimaldi Forum,Bar du Marché,485.41970647053085,Bar du Marché,43.743545,7.431086,3,13,Restaurants,"Bd République, 06240 Beausoleil, France",0.0,43.74288,7.42513
Grimaldi Forum,Bar Restaurant le Caroubier,367.93251612196286,Bar Restaurant le Caroubier,43.743545,7.431086,3,13,Restaurants,"35 bd République, 06240 Beausoleil, France",0.0,43.74424,7.42662
Grimaldi Forum,New Indian,481.8700368241429,New Indian,43.743545,7.431086,3,13,Indian,"9 bd République, 06240 Beausoleil, France",4.0,43.74253,7.42527
Grimaldi Forum,Twiga,278.4215620428365,Twiga,43.743545,7.431086,3,13,Dance Clubs,"Blve.Louis II 35, 98000 Zacatecas, Mexico",4.0,43.74109026326,7.43039124163632
Grimaldi Forum,Premier Kebap,402.0964022305595,Premier Kebap,43.743545,7.431086,3,13,Turkish,"29 bd de la République, 06240 Beausoleil, France",4.5,43.74372,7.4261
Grimaldi Forum,Apsara,310.6188285548165,Apsara,43.743545,7.431086,3,13,Korean,"Centre Commercial Beausoleil, 35510 Cesson-Sévigné, France",4.3,43.741379,7.428648
Grimaldi Forum,La Véranda,479.98079354801826,La Véranda,43.743545,7.431086,3,13,Restaurants,"27 Boulevard République, 06240 Beausoleil, France",4.0,43.7429882,7.425177
Grimaldi Forum,O Cantinho da Saudade,395.90466385964345,O Cantinho da Saudade,43.743545,7.431086,3,13,Portuguese,"1 B Avenue Mar Foch, 06240 Beausoleil, France",0.0,43.74422,7.42626
Grimaldi Forum,Restaurant Au Grain de Riz,276.67774458558705,Restaurant Au Grain de Riz,43.743545,7.431086,3,13,Restaurants,"25 bd Gén Leclerc, 06240 Beausoleil, France",4.0,43.7435659,7.4276513
Grimaldi Forum,The Priory,440.5230264227747,The Priory,43.743545,7.431086,3,13,Restaurants,"3 avenue Gén de Gaulle, 06240 Beausoleil, France",0.0,43.7429,7.42569
Grimaldi Forum,Bar du Marché,485.41970647053085,Bar du Marché,43.743545,7.431086,3,13,Restaurants,"Bd République, 06240 Beausoleil, France",0.0,43.74288,7.42513
Grimaldi Forum,Bar Restaurant le Caroubier,367.93251612196286,Bar Restaurant le Caroubier,43.743545,7.431086,3,13,Restaurants,"35 bd République, 06240 Beausoleil, France",0.0,43.74424,7.42662
Grimaldi Forum,New Indian,481.8700368241429,New Indian,43.743545,7.431086,3,13,Indian,"9 bd République, 06240 Beausoleil, France",4.0,43.74253,7.42527
Grimaldi Forum,Twiga,278.4215620428365,Twiga,43.743545,7.431086,3,13,Dance Clubs,"Blve.Louis II 35, 98000 Zacatecas, Mexico",4.0,43.74109026326,7.43039124163632
Grimaldi Forum,Premier Kebap,402.0964022305595,Premier Kebap,43.743545,7.431086,3,13,Turkish,"29 bd de la République, 06240 Beausoleil, France",4.5,43.74372,7.4261
Grimaldi Forum,Apsara,310.6188285548165,Apsara,43.743545,7.431086,3,13,Korean,"Centre Commercial Beausoleil, 35510 Cesson-Sévigné, France",4.3,43.741379,7.428648
Grimaldi Forum,La Véranda,479.98079354801826,La Véranda,43.743545,7.431086,3,13,Restaurants,"27 Boulevard République, 06240 Beausoleil, France",4.0,43.7429882,7.425177
Grimaldi Forum,O Cantinho da Saudade,395.90466385964345,O Cantinho da Saudade,43.743545,7.431086,3,13,Portuguese,"1 B Avenue Mar Foch, 06240 Beausoleil, France",0.0,43.74422,7.42626
Grimaldi Forum,Restaurant Au Grain de Riz,276.67774458558705,Restaurant Au Grain de Riz,43.743545,7.431086,3,13,Restaurants,"25 bd Gén Leclerc, 06240 Beausoleil, France",4.0,43.7435659,7.4276513
Grimaldi Forum,The Priory,440.5230264227747,The Priory,43.743545,7.431086,3,13,Restaurants,"3 avenue Gén de Gaulle, 06240 Beausoleil, France",0.0,43.7429,7.42569
Grimaldi Forum,Chez Pascal,378.8751175614921,Chez Pascal,43.743545,7.431086,3,13,Restaurants,"13 bd Gén Leclerc, 06240 Beausoleil, France",3.0,43.7426114,7.4265622
Grimaldi Forum,Bar du Marché,485.41970647053085,Bar du Marché,43.743545,7.431086,3,13,Restaurants,"Bd République, 06240 Beausoleil, France",0.0,43.74288,7.42513
Grimaldi Forum,Bar Restaurant le Caroubier,367.93251612196286,Bar Restaurant le Caroubier,43.743545,7.431086,3,13,Restaurants,"35 bd République, 06240 Beausoleil, France",0.0,43.74424,7.42662
